gap_id,action_id,gap_severity,barrier_severity,environmental_impact,implementation_feasibility,gap_severity_basis,barrier_severity_basis,environmental_impact_basis,implementation_feasibility_basis
G01,A01,4,4,4,5,"Lack of standardized energy-efficiency measurement limits consistent assessment and reporting.","Measurement and disclosure limitations directly affect the ability to monitor energy performance.","Improved measurement can support identification and reduction of energy consumption.","Standardized KPIs, baselines and reporting procedures are generally feasible to implement."
G02,A02,3,3,4,4,"Different energy-efficiency indicators reduce meaningful comparison across operators.","Lack of comparable indicators creates a measurement and disclosure barrier.","Better comparability can support identification of energy-saving opportunities.","Standardized reporting and common indicators are reasonably feasible to establish."
G03,A03,3,3,4,4,"Different renewable-energy measures make adoption difficult to compare consistently.","Inconsistent measurement creates a reporting and implementation barrier.","Improved renewable-energy reporting can support monitoring of renewable adoption and environmental benefits.","Standardized renewable-energy reporting is reasonably feasible."
G04,A04,4,5,5,2,"Unresolved renewable-energy procurement mechanisms can directly constrain implementation.","Procurement and regulatory barriers can significantly restrict renewable-energy deployment.","Greater renewable-energy procurement can substantially reduce dependence on higher-emission energy sources.","Implementation may depend on regulatory, contractual and procurement mechanisms outside the operator's direct control."
G05,A05,4,4,4,4,"Insufficient operator-level GHG information limits assessment of emissions performance.","Measurement and disclosure limitations prevent reliable emissions monitoring.","Better GHG inventories and reporting support emissions reduction planning.","Establishing standardized GHG inventories and reporting procedures is generally feasible."
G06,A06,3,3,4,4,"Different GHG measures and baselines limit meaningful comparison.","Inconsistent measurement and reporting create a comparability barrier.","Comparable GHG data support identification and monitoring of emissions-reduction opportunities.","Standardized GHG boundaries, indicators and reporting procedures are reasonably feasible."
G07,A07,5,4,5,3,"Reported performance relative to the operator's own stated reduction pathway indicates a significant performance issue.","Improvement may require changes in network energy use, operational practices and emissions management.","GHG reduction has substantial potential environmental benefit.","Implementation may require investment and operational changes and therefore has moderate feasibility."
G08,A08,4,4,4,4,"Insufficient quantitative e-waste information limits assessment of recycling and disposal performance.","Measurement and disclosure limitations make e-waste management difficult to monitor.","Improved e-waste collection, recycling and disposal can reduce environmental impacts.","Improved tracking and reporting procedures are generally feasible."
G09,A09,3,3,4,4,"Different e-waste scopes and reporting levels reduce comparability.","Inconsistent definitions and reporting create a measurement and disclosure barrier.","Comparable e-waste data can support improved recycling and waste-management practices.","Standardized e-waste categories and reporting procedures are reasonably feasible."
G10,A10,4,4,4,3,"Insufficient quantitative infrastructure-sharing evidence limits assessment of implementation and environmental benefits.","Limited disclosure and infrastructure coordination can restrict assessment of sharing opportunities.","Effective infrastructure sharing can improve resource efficiency and potentially reduce duplicated infrastructure.","Implementation may require coordination among operators and other stakeholders."
G11,A11,4,4,4,3,"Insufficient operator-level evidence prevents assessment of progress toward policy fiberization targets.","Limited measurement and disclosure creates an evidence barrier.","Greater tower fiberization can support more efficient network infrastructure and operations.","Implementation may require network investment and coordination, giving moderate feasibility."
G12,A12,4,5,5,2,"Renewable-energy implementation can be constrained by government and regulatory support mechanisms.","External regulatory and procurement barriers can strongly affect implementation.","Effective support for renewable-energy procurement can enable substantial environmental benefits.","Feasibility depends partly on government, regulatory and procurement mechanisms."
G13,A13,3,3,3,3,"The issue represents a policy tension between network resilience and carbon-reduction objectives rather than a direct performance failure.","Balancing resilience requirements with emissions reduction creates an operational and policy barrier.","Reducing unnecessary diesel dependence can provide environmental benefits while maintaining resilience.","Solutions require balancing reliability, backup requirements and alternative energy options."
