gap_id,green_ict_area,gap,gap_type,indicator,policy_basis,evidence_basis,rule
G01,Energy Efficiency,Energy-efficiency measurement gap,Measurement Gap,Energy-efficiency performance indicators,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(a),"The policy requires energy-efficient low-emission and environmentally friendly technologies but does not establish common operator-level indicators targets baselines or reporting methods.","If the policy requires energy efficiency but does not define common operator-level measurement indicators targets baselines or reporting methods identify a Measurement Gap."
G02,Energy Efficiency,Energy-efficiency comparability gap,Comparability Gap,Energy savings and energy reduction indicators,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(a),"Operators report energy-efficiency practices using different levels and forms of quantitative evidence. Banglalink reports approximately 4 GWh of energy savings and a 1.1% reduction while comparable indicators are not sufficiently available for Grameenphone and Robi.","If operators report energy-efficiency performance using different or insufficiently comparable indicators baselines or levels of detail identify a Comparability Gap."
G03,Renewable Energy,Renewable-energy reporting comparability gap,Comparability Gap,Renewable-energy adoption generation and capacity,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(b); Renewable Energy Policy 2025,"All three operators report renewable-energy adoption but use different measures and units including solar-powered sites kWp GWh GJ and percentage of network sites.","If operators report renewable-energy adoption using different measures or units that prevent meaningful comparison identify a Comparability Gap."
G04,Renewable Energy,Renewable-energy procurement implementation gap,Implementation Gap,CPPA and large-scale renewable-energy procurement,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.12; Renewable Energy Policy 2025,"Large-scale renewable-energy procurement depends on supporting regulatory and contractual mechanisms and reported implementation challenges affect renewable-energy scaling.","If renewable-energy procurement is constrained by unresolved supporting regulatory or contractual mechanisms identify an Implementation Gap."
G05,GHG / Carbon Reduction,GHG disclosure gap,Disclosure Gap,Operator-level GHG emissions data,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(d),"Banglalink does not provide sufficient operator-level GHG data for direct comparison and the three operators disclose different levels of GHG information.","If sufficient operator-level GHG information is unavailable to assess implementation or enable comparison identify a Disclosure Gap."
G06,GHG / Carbon Reduction,GHG comparability gap,Comparability Gap,GHG emissions measures baselines and targets,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(d),"Operators report different GHG measures baselines and levels of detail making direct comparison difficult.","If operators use different GHG measures baselines or reporting levels that prevent meaningful comparison identify a Comparability Gap."
G07,GHG / Carbon Reduction,GHG performance gap,Performance Gap,Operator-specific GHG reduction target and reported performance,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(d); operator-reported targets,"Grameenphone reported 231774 tCO2e of Scope 1 and 2 emissions in 2025 compared with a 2019 baseline of 216189 tCO2e and has a 2030 target to reduce Scope 1 and 2 emissions by 50%.","If comparable operator-specific evidence shows reported GHG performance is not aligned with the operator's own stated reduction pathway or target identify a Performance Gap. Do not treat this alone as proof of policy non-compliance."
G08,E-waste Management,E-waste disclosure gap,Disclosure Gap,E-waste collection recycling and disposal quantities,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(c),"Grameenphone reports 1163.94 tonnes of e-waste recycled while Banglalink does not provide sufficient operator-level quantitative e-waste data and Robi does not clearly separate telecom-specific e-waste from other waste.","If sufficient operator-level quantitative information on e-waste collection recycling or disposal is unavailable identify a Disclosure Gap."
G09,E-waste Management,E-waste comparability gap,Comparability Gap,E-waste collection recycling and disposal reporting,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.11(c),"Operators provide different levels of detail and do not consistently report comparable telecom-specific e-waste quantities.","If operators report e-waste management using different scopes measures or levels of detail that prevent meaningful comparison identify a Comparability Gap."
G10,Infrastructure Sharing,Infrastructure-sharing evidence and disclosure gap,Evidence Gap; Disclosure Gap,Tower fibre radio-network and other infrastructure sharing,BTRC Telecommunications Network and Licensing Policy 2025 Clauses 5.3 7.2.8 7.7 and 13.6,"Policy supports active and passive infrastructure sharing but sufficient quantitative operator-level information is not available to measure the extent of sharing or its environmental benefits.","If infrastructure sharing is supported by policy but comparable quantitative operator-level evidence is insufficient to assess its extent or environmental benefits identify an Evidence Gap and Disclosure Gap."
G11,Tower Fiberization,Tower-fiberization evidence gap,Evidence Gap,Percentage of mobile towers fiberized,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.2.5,"The policy sets targets of 50% tower fiberization within 1.5 years and 80% within three years but sufficient operator-level data are unavailable to verify progress.","If a policy sets a measurable tower-fiberization target but sufficient operator-level evidence is unavailable to verify progress identify an Evidence Gap rather than non-compliance."
G12,Government Support / Renewable Procurement,Renewable-energy implementation support gap,Implementation Gap,Government and regulatory support for renewable-energy procurement,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.12,"Reported challenges in large-scale renewable-energy procurement indicate that government and regulatory support mechanisms can affect Green ICT implementation.","If implementation of renewable-energy adoption is affected by limitations in government regulatory or procurement support mechanisms identify an Implementation Gap."
G13,Network Resilience / Carbon Reduction,Diesel-use policy tension,Policy Tension,Diesel backup generation at disaster-prone tower sites,BTRC Telecommunications Network and Licensing Policy 2025 Clause 11.2.7,"The policy requires diesel generators at 25% of tower sites in disaster-prone areas to maintain network resilience while continued diesel use can increase fuel consumption and emissions.","If a resilience requirement requires continued diesel backup use that can increase fuel consumption or emissions identify a Policy Tension between network resilience and carbon reduction."
