policy_document,clause_section,green_ict_area,indicator,value,requirement_or_benchmark,type,notes
BTRC Telecommunications Network and Licensing Policy 2025,11.11(a),Energy Efficiency,"Energy-efficient, low-emission and recyclable technologies",Qualitative,"Use energy-efficient, environmentally friendly and low-emission technologies and infrastructure.",Policy requirement,Used for Energy Efficiency analysis
BTRC Telecommunications Network and Licensing Policy 2025,11.11(b),Renewable Energy,Renewable energy integration,Qualitative,"Use solar, wind or hybrid renewable energy where technically and economically feasible.",Policy requirement,Used for Renewable Energy analysis
BTRC Telecommunications Network and Licensing Policy 2025,11.11(c),E-waste Management,"E-waste collection, disposal, recycling and management",Qualitative,"Collection, disposal, recycling and management of e-waste in accordance with national regulations.",Policy requirement,Used for E-waste Management analysis
BTRC Telecommunications Network and Licensing Policy 2025,11.11(d),GHG / Carbon Reduction,GHG monitoring and reduction,Qualitative,"Monitor, document and undertake measures to reduce GHG emissions from network operations and related activities.",Policy requirement,Used for GHG / Carbon Reduction analysis
Renewable Energy Policy 2025,3.1(k),Renewable Energy,Solar-powered BTS,Qualitative,"Solar-powered Base Transceiver Stations are identified as a renewable-energy application.",Policy provision,Used as supporting renewable-energy reference
Renewable Energy Policy 2025,5.1.3-5.1.4,Renewable Energy / Reporting,RE implementation and generation records,Qualitative,"RE programs and implementation information should be reported, including project and generation records.",Reporting requirement,Used for RE implementation and disclosure analysis
Renewable Energy Policy 2025,5.1.7,Renewable Energy / Procurement,RPO and REC mechanisms,Qualitative,"RPO and REC mechanisms are identified for renewable-energy procurement.",Policy mechanism,Used for renewable-energy procurement context
Renewable Energy Policy 2025,14.3,E-waste Management,Battery and PV-panel recycling,Qualitative,"Disposal and recycling of batteries and PV panels are included through e-waste rules.",Policy provision,Used as supporting e-waste context
Renewable Energy Policy 2025,17.0,Renewable Energy,National renewable-energy target,20% by 2030; 30% by 2040,"20% of total power demand by 2030 and 30% by 2040.",National benchmark,Context only; not an operator-specific target
NDC 3.0 (2025),"Chapter 9, Section 1(d)",GHG / Carbon Reduction,National cumulative GHG reduction benchmark,20.31%,"20.31% cumulative GHG reduction below the BAU scenario during 2026-2035.",National benchmark,Context only; not an operator-specific target
Energy Efficiency and Conservation Master Plan up to 2030,"Chapter 2, Section 2.1",Energy Efficiency,Primary energy consumption per unit of GDP reduction,20% by 2030,"20% improvement in primary energy consumption per unit of GDP by 2030 compared with the 2013 baseline.",National benchmark,Context only; not an operator-specific target
BTRC Telecommunications Network and Licensing Policy 2025,"5.3, 7.2.8, 7.7, 13.6",Infrastructure Sharing,Infrastructure sharing,Qualitative,"Supports active and passive infrastructure sharing including towers, fiber, radio networks and other facilities.",Supporting provision,Used for Infrastructure Sharing analysis
BTRC Telecommunications Network and Licensing Policy 2025,11.12,Government Support / Incentives,Environmental sustainability incentives,Qualitative,"Government shall promote and, where appropriate, incentivize environmentally sustainable telecommunications practices.",Supporting provision,Used for Government Support analysis
BTRC Telecommunications Network and Licensing Policy 2025,11.2.7,Policy Constraint,Diesel generators at disaster-prone tower sites,25%,"Diesel generators are required at 25% of tower sites in disaster-prone areas to maintain network resilience.",Policy constraint / tension,Used for resilience versus carbon-reduction policy tension
